timepoint,MLS,aminoglycoside,aminoglycoside:aminocoumarin,bacitracin,betalactam,fluoroquinolone,fosmidomycin,glycopeptide,multidrug,nitroimidazole,peptide,phenicol,pleuromutilin,rifamycin,sulfonamide,tetracycline,triclosan
2020-10-12,96469.35403567,23760.23772472,334.61683916,110469.65716543,12190.70602864,15488.00780068,15010.87990086,949.76566374,381386.83597663,7158.21313708,13397.63015697,523.94705071,72.65829671,17473.89623828,49410.15700148,20460.55813792,14027.44941723
2020-10-16,36018.27828333,23798.12715748,90.12037926,92950.86915861,7597.55677504,22258.39536125,12751.31430627,6924.92514311,399924.06654867,4460.26316165,14613.17185047,11312.44405174,63.59804885,99397.59843088,52223.85075354,68295.76341129,2057.91945089
2020-10-19,36197.65197614,41451.94530880,125.08754706,62470.65365803,6560.44981022,27162.37183303,11988.60009126,6041.88793233,423330.01012014,2726.92998176,7879.11622476,671.92088551,44.13720844,121564.25969737,28075.01339997,60934.00346283,2170.96296317
2020-11-25,37591.49121590,46140.15948733,357.99565136,42302.72400539,5498.33617000,48237.60896745,10940.11025819,10800.40927442,349695.11812044,2855.65181407,7608.97799343,2958.47878268,58.30105784,145301.44343980,27916.27344787,89749.66536764,572.75867620
2020-11-02,42155.12661922,56116.09331784,170.59105526,60700.82717239,8727.71212951,29637.79207389,13677.10905392,6364.47719802,386187.33331219,4187.96651530,4697.99216668,7427.23969731,180.57943754,109904.41270876,47097.75200099,69302.09390177,667.58375103
2020-11-30,67474.67353148,36925.70953086,838.49188372,129925.47135666,30948.30150777,30250.28596993,15018.03801362,3093.14209538,347430.89671197,8563.26016406,13885.49389754,775.81673281,215.17259153,17525.88665530,54442.19551941,30468.20639280,742.94402670
2020-12-04,107841.97560097,49634.73154813,169.04437601,54031.48550021,6852.51138694,42705.09118312,9903.24756697,6129.82267376,340146.79872806,3718.39636007,5222.35437070,3918.90776872,59.64739924,117416.83995221,30655.87502938,83357.53788324,1840.28585498
2020-12-11,33267.67325874,46581.09825293,374.00589780,48063.49991637,6887.56196463,57388.26795880,10954.39053979,10685.66877865,356298.69889484,3415.61046542,6686.46389358,2537.69927690,131.96818274,135289.59219251,27582.94537999,94539.28248224,476.73199441
2020-12-18,35657.62429002,38387.63090606,45.69224366,71136.31335165,10081.07426621,49612.06768463,14340.30657219,9029.71250160,372652.63708317,5348.42211347,4405.42557943,1705.16684135,225.71545946,125316.93086602,33620.35920428,75928.97537782,251.43434375
2020-12-21,53100.07045991,39670.00371169,49.64492919,65542.67164369,6464.21192729,50563.62701356,12206.02144303,4235.40878412,390261.86104795,4251.07059148,4258.27747046,1235.11680612,175.17240036,120937.83412867,29100.95265082,81983.80159780,183.66786627
2020-12-24,24383.29713159,53293.70447649,29.63659756,47863.70278814,3584.36474403,54341.57071424,11385.13936533,3580.25461924,393442.68276987,3096.54151576,3106.19287512,3787.19128408,104.57289431,138376.59924406,32174.34825039,96980.80340533,246.00849676
2020-12-28,59446.16622416,48306.96368181,15.99993377,36368.25487822,2201.56368986,64405.97819576,6208.44836503,3015.03956984,384490.65871366,1194.09454246,1582.63178228,1610.34395126,22.58234103,157738.29407519,17020.33857623,115175.48377510,87.29746553
2020-09-21,133084.44968104,56353.53663901,3396.81105882,40568.98448424,58474.79334476,27134.78821502,10516.38222150,283.45031374,190027.59540451,4759.29563464,29413.00936235,389.41338268,210.05806637,2040.60757473,27540.94643325,47362.86059047,1675.81367424
2020-09-28,130990.43822978,49245.27049056,3344.07186039,46115.32884757,46601.80046063,28951.93701269,11020.17137111,368.39577247,210974.71405010,4904.58013530,27652.51632913,510.83327911,261.68413615,3334.31303569,24877.20039836,44218.61370941,1490.63320774
2021-03-26,50482.82421010,41949.83330492,118.75123380,61581.31360204,6531.42450516,51886.79951261,12922.55229469,4456.66447353,386273.36296260,3848.21215184,4150.25656846,940.04063100,41.90143689,117299.97409107,25628.33677564,88077.88997874,354.88210248
2021-03-29,168841.59933682,39432.15226734,3302.41726658,61660.42950397,30160.46750660,27634.32751560,8324.20460962,439.03314511,251986.53496255,3878.72664434,18710.33291540,552.81692547,356.47747814,4101.83395579,16556.46283295,51363.89105663,687.45570802
2021-04-09,30352.39940691,32556.66139333,232.15561279,61241.09472796,2830.14653209,44438.08123471,10711.69607467,5560.94362515,398817.15308280,2165.75701383,3935.55509434,4627.20529714,40.95811659,153963.31800847,18719.16943428,93429.38281516,757.83921039
2021-05-21,149071.42498396,43571.40161207,3365.65586007,36877.93510171,35232.43547474,24538.80871681,9608.20610982,336.06233663,233244.52619674,4280.81295867,27479.86264490,535.49021941,246.76851642,3316.67929999,24774.47447187,48144.73997530,1416.90151810
2021-08-02,125150.33160800,56550.18436463,3207.13363063,41407.07480573,58226.21548875,33031.93138547,11393.27414801,504.37352027,198632.31178818,5155.79346011,31558.88041435,360.28138406,254.80609443,4550.70139971,27105.25416577,43701.84948242,1317.34323455
2021-08-06,126649.71295971,56153.32438032,3612.92779687,38995.24681004,54532.34181497,30627.79458159,10675.93909690,425.56444201,194917.73404430,5086.20910514,28852.12976494,522.97352880,239.66682205,4573.07288998,26417.16026316,44612.52870887,1678.35845262
